date,question,keyword,conceptual,practical,social,activity
2023-09-07,"Welcome, Introduction, and Setup",intro,"what is a system, why study tools",GitHub basics,class intros,"create kwl repo in github, navigate github.com basics"
2023-09-12,Course Logistics and Learning,logistics,github flow with issues,syllabus,working together and building common vocab,"set up to work offline together, create a folder"
2023-09-14,Bash intro & git offline,terminal start,"git structure, paths and file system","bash path navigation, git terminal authentication",why developers work differently than casual users,navigate files and clone a repo locally
2023-09-19,How can I work with branches offline?,gitoffline,git branches,"github flow offline, resolving merge conflicts","commuication is important, git can help fix misunderstandings and save effort",clone a repo and make a branch locally
2023-09-21,When do I get an advantage from git and bash?,why terminal,"computing mental model, paths and file structure","bash navigation, tab completion","collaboration requires shared language, shared convention and standards help get people up to speed faster",work with bash and recover from a mistake with git
2023-09-26,What *is* a commit?,merge conflicts,"versions, git vlaues","merge conflicts in github, merge conflicts with IDE help","human and machine readable, commit messages are for people","examine commit objects, introduce plumbing commands"
2023-09-28,How do programmers communicate about code?,documentation,"build, automation, modularity, pattern matching,","generate documentation with jupyterbook, gitignore, git init, git remote","main vs master, documentation community",make a jupyterbook
2023-10-03,What *is* git?,git structure,"what is a file system, how does git keep track of versions","find in bash, seeing git config, plumbing/porcelain commands","git workflows are conventions, git can be used different ways for different types of teams, two sets of ""rules""",examine git from multiple definitions and inspect objects
2023-10-05,Why are these tools like this?,unix philosophy,"unix philosophy, debugging strategies",decision making for branches,"social advantages of shared mental model, different target users impact on design",discussion with minor code examples
2023-10-12,How does git make a commit?,git internals,"pointers, design and abstraction, intermediate stages in git, what is the staging area","inspecting git objects, when hashes are unique or the same",conventions vs requirements,create a commit using plumbing commands
2023-10-19,How can can I release and share my code?,git references,"pointers, git branches and tags","git branches, advanced fixing, semver and conventional commits, git tags, code releases","advantages of data that is both human and machine readable, social disadvantages of computational efficiency",make a tag and release
2023-10-17,What is a commit number?,numbers,"hashes, number systems","git commit numbers, manual hashing with git",number  systems are derived in culture,discussion and use hashing algorithm
2023-10-24,How can I automate things with bash?,bash scripting,"bash is a programming language, official docs, scripting/interactive","script files, man pages, bash variables, bash loops, bash conditionals, gh CLI",using automation to make collaboration easier,build a bash script that calculates a grade
2023-10-26,How can I work on a remote server?,server,"server, hpc, large files","ssh, large files, bash head, grep, etc",hidden impacts of remote computation,log into a remote server and work with large files
2023-10-31,What is an IDE?,IDE,IDE parts,compare and contrast IDEs,"collaboraiton features, developer communities",discussions and sharing IDE tips
2023-11-02,How do I choose a Programming Language for a project?,programming languages,"types of PLs, what is PL studying",choosing a language for a project,usability depends on prior experience,discussion or independent research
2023-11-07,How can I authenitcate more securely from a terminal?,server use,"ssh keys, hpc system strucutre","ssh keys, interactive, slurm",social aspects of passwords and security,configure and use ssh keys on a hpc
2023-11-09,What Happens when we build code?,building,building C code,"ssh keys, gcc compiler","file extensions are for people, when vocabulary is imprecise",build code in C and examine intermediate outputs
2023-11-14,What happens when we run code?,hardwar,von neuman architecture,reading a basic assembly language,historical context of computer architecures,use a hardware simulator to see step by step of a simple program
2023-11-16,How does a computer represent non integer quantities?,floats,float representation,floats do not equal themselves,"social processes around standard developents, standards are for people",work with float representation through fractions in Python
2023-11-21,How can we use logical operations?,bitwise operation,"what is a bit, what is a register, how to break larger calculations down",how an ALU works,tech interviews look for obscure details sometimes,derive addition from basic logic operations
2023-11-28,What *is* a computer?,architecture,"physical gates, history",interpretting specs,social context influences technology,discussion
2023-11-30,How does timing work in a computer?,timing,"timing, control unit, threading",threaded program with a race condition,different times matter in different cases,write a threaded program and fix a race condition
2023-12-05,How do different types of storage work together?,memory,"different type of memory, different abstractions",working with large data,privacy/respect for data,large data that has to be read in batches
2023-12-07,How does this all work together,review,all,end of semester logistics,group work final,"review quiz, integration/reflection questions"
2023-12-12,How did this semester go?,feedback,all,grading,how to learn better together,discussion
